SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,20777 E Crest Ln,Diamond Bar,CA,91789,518000,2,2.0,616 - Diamond Bar,1000,300,1988,1,518,425,Active,,,http://www.redfin.com/CA/Walnut/20777-E-Crest-Ln-91789/unit-A/home/8089410,CRMLS,TR20108550,N,Y,33.979636,-117.853384
MLS Listing,,Single Family Residential,18956 Bramhall Ln,Rowland Heights,CA,91748,1399000,7,6.5,652 - Rowland Heights,4824,8626,1997,1,290,199,Active,,,http://www.redfin.com/CA/Rowland-Heights/18956-Bramhall-Ln-91748/home/7870054,CRMLS,WS20108100,N,Y,33.9667038,-117.8863822
MLS Listing,,Single Family Residential,20706 Divonne Dr,Walnut,CA,91789,848000,4,2.0,668 - Walnut,2189,9437,1964,1,387,,Active,,,http://www.redfin.com/CA/Walnut/20706-Divonne-Dr-91789/home/8068600,CRMLS,TR20107210,N,Y,34.0173814,-117.8529842
MLS Listing,,Single Family Residential,19601 Bomar Ct,Rowland Heights,CA,91748,765000,3,3.0,652 - Rowland Heights,2142,13218,1987,1,357,,Active,,,http://www.redfin.com/CA/Rowland-Heights/19601-Bomar-Ct-91748/home/7868499,CRMLS,TR20107126,N,Y,33.9767717,-117.8708075
MLS Listing,,Single Family Residential,1751 Walnut Leaf Dr,Walnut,CA,91789,788800,3,2.0,668 - Walnut,1905,11182,1969,1,414,,Active,,,http://www.redfin.com/CA/Walnut/1751-Walnut-Leaf-Dr-91789/home/8088266,CRMLS,TR20108129,N,Y,33.9873512,-117.8579977
MLS Listing,,Single Family Residential,20656 Shepherd Hills Dr,Diamond Bar,CA,91765,1480000,5,6.0,616 - Diamond Bar,3467,7500,2018,2,427,284,Active,,,http://www.redfin.com/CA/Diamond-Bar/20656-Shepherd-Hills-Dr-91789/home/144921132,CRMLS,TR20107697,N,Y,33.989362,-117.852851
MLS Listing,,Condo/Co-op,20003 Esquiline Ave,Walnut,CA,91789,538000,3,3.0,668 - Walnut,1506,336205,1976,2,357,240,Active,,,http://www.redfin.com/CA/Walnut/20003-Esquiline-Ave-91789/home/8088068,CRMLS,TR20106060,N,Y,33.9839227,-117.8659521
MLS Listing,,Condo/Co-op,1801 Ewing Ct #26,Hacienda Hts,CA,91745,418000,2,1.5,631 - Hacienda Heights,1029,44714,1979,2,406,232,Active,,,http://www.redfin.com/CA/Hacienda-Heights/1801-Ewing-Ct-91745/unit-26/home/7882045,CRMLS,TR20106689,N,Y,33.9909388,-117.940688
MLS Listing,,Single Family Residential,17339 Villa Park St,La Puente,CA,91744,499900,3,2.0,633 - Industry/La Puente/Valinda,1428,6931,1979,2,350,,Active,,,http://www.redfin.com/CA/La-Puente/17339-Villa-Park-St-91744/home/7863683,CRMLS,DW20046911,N,Y,34.0149655,-117.9257011
MLS Listing,,Condo/Co-op,2251 Fullerton Rd #9,Rowland Heights,CA,91748,429000,2,2.0,652 - Rowland Heights,1109,36314,1970,3,387,250,Active,,,http://www.redfin.com/CA/Rowland-Heights/2251-Fullerton-Rd-91748/unit-9/home/7864481,CRMLS,TR20106996,N,Y,33.9791745,-117.9090088
