GEO_NAME,GEO_ID,GEO_TYPE,HD_INDEX,LIFE_EXPEC,LESS_HS,BACHELORS,GRAD_DEGRE,SCHOOL_ENR,EARNINGS,HEALTH_IND,ED_INDEX,INCOME_IND
East Rancho Dominguez,621034,Census-Designated Place,2.59,76.1,47.3,4.3,1.2,74.7,20391,4.23,1.77,1.78
Rowland Heights,663218,Census-Designated Place,6.26,87,15.6,36.3,9,81,30042,8.77,5.55,4.46
Montebello,648816,City,4.92,83.7,28.3,18.7,5.3,77.5,26814,7.38,3.7,3.68
Long Beach,643000,City,5,79.4,20.6,29.2,10.4,77.7,30848,5.6,4.75,4.65
Palmdale,655156,City,4.49,79.8,25.8,14.8,4.8,78.4,28237,5.74,3.7,4.04
Palos Verdes Estates,655380,City,9.3,85.5,1.4,75.1,34.8,92.8,82813,8.1,9.79,10
Santa Clarita,669088,City,6.65,84,11,32.7,10.4,84.1,40271,7.51,5.94,6.5
West Covina,684200,City,5.63,83.2,16.9,26.5,6.5,81.2,31285,7.18,4.96,4.75
Claremont,613756,City,7.06,82.9,6.8,56.2,31.4,92.9,33380,7.03,8.95,5.2
La Verne,640830,City,6.46,81.8,8.9,36.7,14,83.5,40150,6.59,6.31,6.48
Lynwood,644574,City,3.52,81.7,47.2,6,1.6,77,20842,6.55,2.08,1.93
Covina,616742,City,5.4,80.8,14,25.9,7.1,81.5,32116,6.15,5.12,4.93
Whittier,685292,City,5.67,82.1,16.7,24.2,9.4,79.4,34819,6.71,4.82,5.49
Gardena,628168,City,5.46,83.5,18.2,23.2,5.5,80.4,30074,7.29,4.63,4.47
East Los Angeles,620802,Census-Designated Place,3.28,81.3,53.3,6.1,1.3,75.6,20424,6.39,1.67,1.79
Culver City,617568,City,7.56,83.4,7.8,53.4,22.7,82.3,50272,7.26,7.38,8.03
Azusa,603386,City,4.27,80.7,22.3,19.6,6.3,83.3,21371,6.12,4.6,2.1
Avocado Heights,603344,Census-Designated Place,5.18,84.1,27,15.4,5,78.9,29098,7.56,3.73,4.24
Hawthorne,632548,City,4.49,80.5,26.2,19,4.9,78.3,26303,6.05,3.87,3.54
Del Aire,618352,Census-Designated Place,6.38,83.8,19.1,34.1,11.3,82.4,38517,7.41,5.53,6.19
San Gabriel,667042,City,5.53,84.3,21.9,30.6,8.1,84.6,26613,7.64,5.31,3.62
Inglewood,636546,City,4.22,79.8,27.5,18.2,6,78.5,24638,5.74,3.84,3.09
Torrance,680000,City,7.3,84.1,6.5,45.9,15.4,84.8,45422,7.54,7.02,7.33
Temple City,678148,City,6.31,82.6,13.8,37.3,11.3,87,35579,6.94,6.34,5.64
Glendora,630014,City,6.06,81.1,9.8,32.5,12.3,83.4,36855,6.3,6,5.88
Stevenson Ranch,674130,Census-Designated Place,8.75,86.2,4.7,50.9,20.4,91.7,63247,8.41,8.2,9.63
El Monte,622230,City,4.31,85.1,42.2,11.7,2.3,77.7,22088,7.94,2.65,2.33
Lakewood,639892,City,5.84,80.2,12.1,27.8,8,79.8,40060,5.91,5.16,6.46
Compton,615044,City,3.19,78.4,39.9,7.3,1.9,74.7,21444,5.18,2.25,2.13
Huntington Park,636056,City,3.11,81.9,58.6,5.8,1.2,76.9,18496,6.64,1.61,1.1
Castaic,611796,Census-Designated Place,7.81,88.9,8.1,32.8,8.7,86.4,47795,9.53,6.23,7.68
Carson,611530,City,5.07,80.8,20.4,24.4,6.4,78.4,30650,6.16,4.44,4.6
Agoura Hills,600394,City,7.53,81.8,4.9,51.3,20.9,85.9,52395,6.6,7.68,8.32
Commerce,614974,City,3.96,81.7,45,7.5,3.1,80.3,23358,6.55,2.62,2.72
Glendale,630000,City,6.04,84.1,15.6,37.9,13,81.7,31110,7.55,5.85,4.71
Hacienda Heights,631596,Census-Designated Place,6.43,84.3,14.2,35.9,10.7,82.2,36868,7.62,5.77,5.88
Beverly Hills,606308,City,8.7,86.6,5,61.1,30,88.1,55893,8.6,8.73,8.77
Cerritos,612552,City,7.61,86.4,8.3,48.2,17.2,87.1,43340,8.5,7.34,7.01
South El Monte,672996,City,4.15,85.6,50.1,7.4,2.1,77.3,21666,8.18,2.07,2.2
Santa Fe Springs,669154,City,5.2,82.3,23.2,14.2,4.3,81.1,31495,6.78,4.03,4.79
Rancho Palos Verdes,659514,City,9.12,86.7,2.4,64.9,31.1,94.3,58699,8.61,9.65,9.11
South Gate,673080,City,3.93,83.6,47.6,7.6,1.7,76.6,22228,7.32,2.1,2.38
Diamond Bar,619192,City,7.38,85.4,7.9,50.9,17.2,86.7,41012,8.08,7.44,6.62
Downey,619766,City,5.12,81.4,23.9,21.4,6.1,79.1,31152,6.43,4.2,4.72
Redondo Beach,660018,City,7.99,82.3,4.2,56.9,21.9,85.4,59819,6.78,7.96,9.24
San Dimas,666070,City,6.62,81.9,7.9,35.7,13.3,87.2,40843,6.62,6.65,6.59
Harbor Gateway,4350,City of Los Angeles Community Plan Area,3.91,78.7,27.4,19.7,4,78.1,23106,5.29,3.78,2.64
