SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,15677 Tetley St,Hacienda Hts,CA,91745,725000,4,3.0,631 - Hacienda Heights,1912,10220,1963,1,379,,Active,,,http://www.redfin.com/CA/La-Puente/15677-Tetley-St-91745/home/7841506,CRMLS,TR20108514,N,Y,33.9943543,-117.9724698
MLS Listing,,Single Family Residential,1518 Silman St,Hacienda Hts,CA,91745,1025000,5,5.5,631 - Hacienda Heights,2901,6764,1997,2,353,,Active,,,http://www.redfin.com/CA/Hacienda-Heights/1518-Silman-St-91745/home/7843883,CRMLS,IV20107059,N,Y,34.0046164,-117.9694041
MLS Listing,,Single Family Residential,3362 Olaf Hill Dr,Hacienda Hts,CA,91745,949888,5,3.0,631 - Hacienda Heights,3198,8237,1978,2,297,,Active,,,http://www.redfin.com/CA/Hacienda-Heights/3362-Olaf-Hill-Dr-91745/home/7876249,CRMLS,TR20106178,N,Y,33.9815651,-117.9892157
MLS Listing,,Condo/Co-op,1801 Ewing Ct #26,Hacienda Hts,CA,91745,418000,2,1.5,631 - Hacienda Heights,1029,44714,1979,2,406,232,Active,,,http://www.redfin.com/CA/Hacienda-Heights/1801-Ewing-Ct-91745/unit-26/home/7882045,CRMLS,TR20106689,N,Y,33.9909388,-117.940688
MLS Listing,,Single Family Residential,17339 Villa Park St,La Puente,CA,91744,499900,3,2.0,633 - Industry/La Puente/Valinda,1428,6931,1979,2,350,,Active,,,http://www.redfin.com/CA/La-Puente/17339-Villa-Park-St-91744/home/7863683,CRMLS,DW20046911,N,Y,34.0149655,-117.9257011
MLS Listing,,Condo/Co-op,2251 Fullerton Rd #9,Rowland Heights,CA,91748,429000,2,2.0,652 - Rowland Heights,1109,36314,1970,3,387,250,Active,,,http://www.redfin.com/CA/Rowland-Heights/2251-Fullerton-Rd-91748/unit-9/home/7864481,CRMLS,TR20106996,N,Y,33.9791745,-117.9090088
MLS Listing,,Single Family Residential,2066 Punta Del Este Dr,Hacienda Hts,CA,91745,748000,5,2.0,631 - Hacienda Heights,1931,17457,1963,3,387,,Active,,,http://www.redfin.com/CA/La-Puente/2066-Punta-Del-Este-Dr-91745/home/7835415,CRMLS,CV20106860,N,Y,33.992025,-117.9550359
MLS Listing,,Single Family Residential,16545 Circle Hill Ln,Hacienda Hts,CA,91745,739000,4,1.75,631 - Hacienda Heights,1901,7252,1975,3,389,,Active,,,http://www.redfin.com/CA/Hacienda-Heights/16545-Circle-Hill-Ln-91745/home/7881190,CRMLS,WS20106319,N,Y,33.9858837,-117.9494988
MLS Listing,,Single Family Residential,221 S Winton Ave,La Puente,CA,91744,429000,3,1.0,633 - Industry/La Puente/Valinda,936,6067,1956,4,458,,Active,,,http://www.redfin.com/CA/La-Puente/221-S-Winton-Ave-91744/home/8074357,CRMLS,TR20105228,N,Y,34.0149198,-117.9172339
MLS Listing,,Single Family Residential,1872 Copper Lantern Dr,Hacienda Hts,CA,91745,758999,3,2.0,631 - Hacienda Heights,1790,11074,1963,4,424,,Active,,,http://www.redfin.com/CA/Hacienda-Heights/1872-Copper-Lantern-Dr-91745/home/7841202,CRMLS,TR20105141,N,Y,34.0017352,-117.9791501
