SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,160 S Hudson Ave #415,Pasadena,CA,91101,495000,1,1.0,647 - Pasadena (SW),793,29651,2004,37,624,396,Active,,,http://www.redfin.com/CA/Pasadena/160-S-Hudson-Ave-91101/unit-415/home/8143570,CRMLS,BB20081928,N,Y,34.1429019,-118.1334346
MLS Listing,,Townhouse,1012 Arcadia Ave Unit D,Arcadia,CA,91007,965000,3,2.5,605 - Arcadia,2101,19022,2005,66,459,200,Active,,,http://www.redfin.com/CA/Arcadia/1012-Arcadia-Ave-91007/unit-D/home/8145051,CRMLS,BB20065867,N,Y,34.1261332,-118.0631042
MLS Listing,,Single Family Residential,2786 E California Blvd,Pasadena,CA,91107,3999000,5,4.5,648 - Pasadena (SE),5163,21134,2000,1,775,,Active,,,http://www.redfin.com/CA/Pasadena/2786-E-California-Blvd-91107/home/7041143,CRMLS,AR20101690,N,Y,34.1353934,-118.0932931
MLS Listing,,Single Family Residential,588 S Rosemead Blvd,Pasadena,CA,91107,699000,3,1.0,648 - Pasadena (SE),1158,6771,1947,1,604,,Active,,,http://www.redfin.com/CA/Pasadena/588-S-Rosemead-Blvd-91107/home/7041744,CRISNet,SR20105691,N,Y,34.1362989,-118.0729215
MLS Listing,,Multi-Family (2-4 Unit),47 El Nido Ave,Pasadena,CA,91107,1300000,4,4.0,699 - Not Defined,2429,8024,1926,1,535,,Active,,,http://www.redfin.com/CA/Pasadena/47-El-Nido-Ave-91107/home/7212252,CRMLS,PW20108577,N,Y,34.1452028,-118.089545
MLS Listing,,Single Family Residential,521 La Paz Dr,Pasadena,CA,91107,2928000,4,4.5,Pasadena SE,3254,8228,2018,1,900,,Active,,,http://www.redfin.com/CA/Pasadena/521-La-Paz-Dr-91107/home/7014434,PFAR,820002059,N,Y,34.1373854,-118.0982542
MLS Listing,,Single Family Residential,6373 Provence Rd,San Gabriel,CA,91775,849000,3,2.0,San Gabriel,1250,5288,1955,1,679,,Active,,,http://www.redfin.com/CA/San-Gabriel/6373-N-Provence-Rd-91775/home/7040261,TheMLS,20-587198,N,Y,34.1147608,-118.0902067
MLS Listing,,Condo/Co-op,850 Arcadia Ave #2,Arcadia,CA,91007,475000,2,2.25,Arcadia,1155,33320,1973,1,411,294,Active,,,http://www.redfin.com/CA/Arcadia/850-Arcadia-Ave-91007/unit-2/home/7236794,PFAR,820002050,N,Y,34.1265773,-118.0595297
MLS Listing,,Single Family Residential,3585 Grayburn Rd,Pasadena,CA,91107,1199000,3,1.75,648 - Pasadena (SE),2001,9300,1937,1,599,,Active,,,http://www.redfin.com/CA/Pasadena/3585-Grayburn-Rd-91107/home/7221335,CRMLS,AR20107601,N,Y,34.1398481,-118.0768543
MLS Listing,,Condo/Co-op,257 S Hudson Ave #101,Pasadena,CA,91101,925000,2,2.25,Pasadena SE,1580,17860,2009,1,585,555,Active,,,http://www.redfin.com/CA/Pasadena/257-S-Hudson-Ave-91101/unit-101/home/28603486,PFAR,820002048,N,Y,34.1414332,-118.1344076
MLS Listing,,Single Family Residential,865 Arden Rd,Pasadena,CA,91106,1499000,3,2.75,Pasadena SE,2105,8086,1941,1,712,,Active,,,http://www.redfin.com/CA/Pasadena/865-Arden-Rd-91106/home/7189530,PFAR,820002046,N,Y,34.1318605,-118.132452
MLS Listing,,Single Family Residential,3325 Hermanos St,Pasadena,CA,91107,1050000,3,2.0,Pasadena NE,1846,9736,1947,1,569,,Active,,,http://www.redfin.com/CA/Pasadena/3325-Hermanos-St-91107/home/7220521,PFAR,820002045,N,Y,34.1572521,-118.0819298
MLS Listing,,Townhouse,1020 S Marengo Ave #3,Pasadena,CA,91106,700000,2,2.5,Pasadena SE,1340,14707,2008,1,522,326,Active,,,http://www.redfin.com/CA/Pasadena/1020-S-Marengo-Ave-91106/unit-3/home/21917947,PFAR,820002044,N,Y,34.1282008,-118.1454248
MLS Listing,,Condo/Co-op,640 S Lake Ave #305,Pasadena,CA,91106,954888,3,3.5,Pasadena,1870,22439,1979,2,511,600,Active,,,http://www.redfin.com/CA/Pasadena/640-S-Lake-Ave-91106/unit-305/home/7012317,CRMLS,200018455,N,Y,34.1348333,-118.1318486
MLS Listing,,Condo/Co-op,1129 Fairview Ave Unit A2,Arcadia,CA,91007,719000,4,3.0,605 - Arcadia,1677,24443,1994,2,429,200,Active,,,http://www.redfin.com/CA/Arcadia/1129-Fairview-Ave-91007/unit-A2/home/7042921,CRMLS,WS20103716,N,Y,34.1286398,-118.0662428
MLS Listing,,Condo/Co-op,634 W Huntington Dr #7,Arcadia,CA,91007,699000,3,2.5,605 - Arcadia,1560,73846,1979,2,448,260,Active,,,http://www.redfin.com/CA/Arcadia/634-W-Huntington-Dr-91007/unit-7/home/7233247,CRMLS,OC20107378,N,Y,34.1312127,-118.0529592
MLS Listing,,Single Family Residential,1130 W Orange Grove Ave,Arcadia,CA,91006,2850000,3,3.0,605 - Arcadia,3371,28106,1947,3,845,,Active,,,http://www.redfin.com/CA/Arcadia/1130-W-Orange-Grove-Ave-91006/home/7228907,CRMLS,AR20106665,N,Y,34.156436,-118.0659772
MLS Listing,,Townhouse,1097 Blanche St #130,Pasadena,CA,91106,585000,2,3.0,648 - Pasadena (SE),1034,38480,1988,3,566,545,Active,,,http://www.redfin.com/CA/Pasadena/1097-Blanche-St-91106/unit-130/home/7196740,CRMLS,PF20106455,N,Y,34.1424027,-118.1276923
MLS Listing,,Single Family Residential,829 Madre St,Pasadena,CA,91107,6388000,8,8.5,Pasadena SE,9626,68678,2005,3,664,,Active,,,http://www.redfin.com/CA/Pasadena/829-Madre-St-91107/home/51586660,TheMLS,20-585850,N,Y,34.1309663,-118.079095
MLS Listing,,Single Family Residential,747 Old Mill Rd,Pasadena,CA,91108,2199000,3,2.0,Pasadena SE,2465,11632,1950,3,892,,Active,,,http://www.redfin.com/CA/Pasadena/747-Old-Mill-Rd-91108/home/7011493,PFAR,820002004,N,Y,34.1185143,-118.1347834
MLS Listing,,Single Family Residential,1490 Las Lunas St,Pasadena,CA,91106,950000,3,2.0,Pasadena NE,1678,6004,1911,3,566,,Active,,,http://www.redfin.com/CA/Pasadena/1490-Las-Lunas-St-91106/home/7215151,PFAR,820002002,N,Y,34.1563165,-118.1196972
MLS Listing,,Single Family Residential,1819 Oak St,South Pasadena,CA,91030,1695000,4,2.0,South Pasadena,2581,8867,1909,3,657,,Active,,,http://www.redfin.com/CA/South-Pasadena/1819-Oak-St-91030/home/7008167,TheMLS,20-581060,N,Y,34.1075729,-118.1458001
MLS Listing,,Single Family Residential,1867 Windsor Rd,San Marino,CA,91108,4680000,4,4.5,655 - San Marino,3600,12297,2020,4,1300,,Active,,,http://www.redfin.com/CA/San-Marino/1867-Windsor-Rd-91108/home/7016807,CRMLS,WS20105878,N,Y,34.1136103,-118.1184171
MLS Listing,,Single Family Residential,6956 La Presa Dr,San Gabriel,CA,91775,3180000,5,6.0,654 - San Gabriel,4485,14194,2020,4,709,,Active,,,http://www.redfin.com/CA/San-Gabriel/6956-La-Presa-Dr-91775/home/7040448,CRMLS,AR20105192,N,Y,34.1263835,-118.0832105
MLS Listing,,Single Family Residential,870 Monte Verde Dr,Arcadia,CA,91007,1788000,4,4.5,605 - Arcadia,3135,12083,1949,5,570,,Active,,,http://www.redfin.com/CA/Arcadia/870-Monte-Verde-Dr-91007/home/7232024,CRMLS,AR20100608,N,Y,34.1424404,-118.0608941
MLS Listing,,Townhouse,728 W Huntington Dr Unit A,Arcadia,CA,91007,1025000,3,4.0,605 - Arcadia,2250,19015,2011,5,456,250,Active,,,http://www.redfin.com/CA/Arcadia/728-W-Huntington-Dr-91007/unit-A/home/40153773,CRMLS,AR20101271,N,Y,34.131008,-118.055816
MLS Listing,,Multi-Family (5+ Unit),1837 E Colorado Blvd,Pasadena,CA,91107,6600000,17,21.0,648 - Pasadena (SE),9930,8994,1923,5,665,,Active,,,http://www.redfin.com/CA/Pasadena/1837-E-Colorado-Blvd-91107/home/7208252,CRMLS,AR20097823,N,Y,34.1464219,-118.112405
MLS Listing,,Single Family Residential,9139 Duarte Rd,San Gabriel,CA,91775,1280000,5,4.0,654 - San Gabriel,2956,8108,1936,5,433,,Active,,,http://www.redfin.com/CA/San-Gabriel/9139-Duarte-Rd-91775/home/7042434,CRMLS,WS20104178,N,Y,34.1242326,-118.068943
MLS Listing,,Condo/Co-op,300 N El Molino Ave #121,Pasadena,CA,91101,448000,2,1.0,647 - Pasadena (SW),894,52519,1987,5,501,487,Active,,,http://www.redfin.com/CA/Pasadena/300-N-El-Molino-Ave-91101/unit-121/home/8138074,i-Tech MLS,320001768,N,Y,34.1508711,-118.1363842
