SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,257 Melrose Ave,Monrovia,CA,91016,898000,3,2.5,639 - Monrovia,1596,7544,1912,4,563,,Active,,,http://www.redfin.com/CA/Monrovia/257-Melrose-Ave-91016/home/7964445,CRMLS,PF20105085,N,Y,34.1562432,-118.006875
MLS Listing,,Single Family Residential,718 Valley View Ave,Monrovia,CA,91016,1349000,4,3.5,639 - Monrovia,3009,10002,2003,12,448,,Active,,,http://www.redfin.com/CA/Monrovia/718-Valley-View-Ave-91016/home/7971870,CRMLS,PF20099622,N,Y,34.1535422,-117.9897647
MLS Listing,,Townhouse,1012 Arcadia Ave Unit D,Arcadia,CA,91007,965000,3,2.5,605 - Arcadia,2101,19022,2005,66,459,200,Active,,,http://www.redfin.com/CA/Arcadia/1012-Arcadia-Ave-91007/unit-D/home/8145051,CRMLS,BB20065867,N,Y,34.1261332,-118.0631042
MLS Listing,,Condo/Co-op,1406 S California Ave Unit C,Monrovia,CA,91016,550000,2,3.0,639 - Monrovia,1520,19438,2009,172,362,246,Active,,,http://www.redfin.com/CA/Monrovia/1406-S-California-Ave-91016/unit-C/home/28904429,CRMLS,PF19279322,N,Y,34.136653,-117.993624
MLS Listing,,Single Family Residential,631 Santa Maria Rd,Arcadia,CA,91007,1098000,3,2.5,605 - Arcadia,2200,12030,1958,1,499,,Active,,,http://www.redfin.com/CA/Arcadia/631-Santa-Maria-Rd-91007/home/7231765,CRMLS,AR20108351,N,Y,34.1477671,-118.0395354
MLS Listing,,Single Family Residential,588 S Rosemead Blvd,Pasadena,CA,91107,699000,3,1.0,648 - Pasadena (SE),1158,6771,1947,1,604,,Active,,,http://www.redfin.com/CA/Pasadena/588-S-Rosemead-Blvd-91107/home/7041744,CRISNet,SR20105691,N,Y,34.1362989,-118.0729215
MLS Listing,,Townhouse,263 E Sierra Madre Blvd Unit M,Sierra Madre,CA,91024,699000,3,1.75,656 - Sierra Madre,1302,138680,1974,1,537,450,Active,,,http://www.redfin.com/CA/Sierra-Madre/263-E-Sierra-Madre-Blvd-91024/unit-M/home/171352366,CRMLS,AR20108265,N,Y,34.1621495,-118.0470136
MLS Listing,,Single Family Residential,135 N Shamrock Ave,Monrovia,CA,91016,715000,2,1.0,639 - Monrovia,850,4529,1940,1,841,,Active,,,http://www.redfin.com/CA/Monrovia/135-N-Shamrock-Ave-91016/home/7971025,CRMLS,AR20103255,N,Y,34.152648,-117.990886
MLS Listing,,Condo/Co-op,850 Arcadia Ave #2,Arcadia,CA,91007,475000,2,2.25,Arcadia,1155,33320,1973,1,411,294,Active,,,http://www.redfin.com/CA/Arcadia/850-Arcadia-Ave-91007/unit-2/home/7236794,PFAR,820002050,N,Y,34.1265773,-118.0595297
MLS Listing,,Single Family Residential,3585 Grayburn Rd,Pasadena,CA,91107,1199000,3,1.75,648 - Pasadena (SE),2001,9300,1937,1,599,,Active,,,http://www.redfin.com/CA/Pasadena/3585-Grayburn-Rd-91107/home/7221335,CRMLS,AR20107601,N,Y,34.1398481,-118.0768543
MLS Listing,,Single Family Residential,1014 Highway Esplanade,Monrovia,CA,91016,589000,2,1.0,639 - Monrovia,800,4938,1941,1,736,,Active,,,http://www.redfin.com/CA/Monrovia/1014-Hwy-Esplanade-91016/home/7965989,CRMLS,AR20108182,N,Y,34.1408076,-118.0115297
MLS Listing,,Single Family Residential,3325 Hermanos St,Pasadena,CA,91107,1050000,3,2.0,Pasadena NE,1846,9736,1947,1,569,,Active,,,http://www.redfin.com/CA/Pasadena/3325-Hermanos-St-91107/home/7220521,PFAR,820002045,N,Y,34.1572521,-118.0819298
MLS Listing,,Single Family Residential,83 W Santa Anita Ter,Arcadia,CA,91007,1218000,3,3.0,605 - Arcadia,1888,7164,1959,2,645,,Active,,,http://www.redfin.com/CA/Arcadia/83-W-Santa-Anita-Ter-91007/home/7236340,CRMLS,AR20104680,N,Y,34.1228477,-118.0347328
MLS Listing,,Single Family Residential,808 Alta St,Monrovia,CA,91016,1200000,5,3.0,639 - Monrovia,2708,4971,1992,2,443,50,Active,,,http://www.redfin.com/CA/Monrovia/808-Alta-St-91016/home/7966435,CRMLS,CV20103002,N,Y,34.1387184,-118.0162023
MLS Listing,,Single Family Residential,1801 Highland Oaks Dr,Arcadia,CA,91006,1500000,3,3.0,605 - Arcadia,2759,15146,1953,2,544,,Active,,,http://www.redfin.com/CA/Arcadia/1801-Highland-Oaks-Dr-91006/home/7226265,CRMLS,AR20104591,N,Y,34.1636411,-118.025859
MLS Listing,,Condo/Co-op,1129 Fairview Ave Unit A2,Arcadia,CA,91007,719000,4,3.0,605 - Arcadia,1677,24443,1994,2,429,200,Active,,,http://www.redfin.com/CA/Arcadia/1129-Fairview-Ave-91007/unit-A2/home/7042921,CRMLS,WS20103716,N,Y,34.1286398,-118.0662428
MLS Listing,,Condo/Co-op,634 W Huntington Dr #7,Arcadia,CA,91007,699000,3,2.5,605 - Arcadia,1560,73846,1979,2,448,260,Active,,,http://www.redfin.com/CA/Arcadia/634-W-Huntington-Dr-91007/unit-7/home/7233247,CRMLS,OC20107378,N,Y,34.1312127,-118.0529592
MLS Listing,,Single Family Residential,1130 W Orange Grove Ave,Arcadia,CA,91006,2850000,3,3.0,605 - Arcadia,3371,28106,1947,3,845,,Active,,,http://www.redfin.com/CA/Arcadia/1130-W-Orange-Grove-Ave-91006/home/7228907,CRMLS,AR20106665,N,Y,34.156436,-118.0659772
MLS Listing,,Single Family Residential,1915 Oakwood Ave,Sierra Madre,CA,91024,1118000,3,3.0,Sierra Madre,1728,9527,1955,3,647,,Active,,,http://www.redfin.com/CA/Sierra-Madre/1915-Oakwood-Ave-91024/home/7226105,PFAR,820002017,N,Y,34.1673725,-118.0311651
MLS Listing,,Single Family Residential,1095 Sierra Madre Villa Ave,Pasadena,CA,91107,1197000,3,2.0,Pasadena NE,2210,17017,1953,3,542,,Active,,,http://www.redfin.com/CA/Pasadena/1095-Sierra-Madre-Villa-Ave-91107/home/7266414,PFAR,820002014,N,Y,34.1651756,-118.0809241
MLS Listing,,Single Family Residential,2062 Graydon Ave,Monrovia,CA,91016,665000,2,1.75,Monrovia,1044,7734,1949,3,637,,Pre On-Market,,,http://www.redfin.com/CA/Monrovia/2062-Graydon-Ave-91016/home/7967741,PFAR,820002013,N,Y,34.126953,-118.005534
MLS Listing,,Single Family Residential,829 Madre St,Pasadena,CA,91107,6388000,8,8.5,Pasadena SE,9626,68678,2005,3,664,,Active,,,http://www.redfin.com/CA/Pasadena/829-Madre-St-91107/home/51586660,TheMLS,20-585850,N,Y,34.1309663,-118.079095
MLS Listing,,Single Family Residential,1830 S Mayflower Ave,Monrovia,CA,91016,998000,5,3.0,639 - Monrovia,2713,10485,1990,4,368,,Active,,,http://www.redfin.com/CA/Monrovia/1830-S-Mayflower-Ave-91016/home/7967550,CRMLS,CV20104896,N,Y,34.1312585,-118.009048
MLS Listing,,Single Family Residential,717 W Colorado Blvd,Monrovia,CA,91016,589000,2,1.0,Monrovia,1076,7202,1925,4,547,,Active,,,http://www.redfin.com/CA/Monrovia/717-W-Colorado-Blvd-91016/home/7965478,TheMLS,20-585708,N,Y,34.146046,-118.013839
MLS Listing,,Single Family Residential,6956 La Presa Dr,San Gabriel,CA,91775,3180000,5,6.0,654 - San Gabriel,4485,14194,2020,4,709,,Active,,,http://www.redfin.com/CA/San-Gabriel/6956-La-Presa-Dr-91775/home/7040448,CRMLS,AR20105192,N,Y,34.1263835,-118.0832105
MLS Listing,,Single Family Residential,870 Monte Verde Dr,Arcadia,CA,91007,1788000,4,4.5,605 - Arcadia,3135,12083,1949,5,570,,Active,,,http://www.redfin.com/CA/Arcadia/870-Monte-Verde-Dr-91007/home/7232024,CRMLS,AR20100608,N,Y,34.1424404,-118.0608941
MLS Listing,,Single Family Residential,1121 San Carlos Rd,Arcadia,CA,91006,5380000,5,6.5,605 - Arcadia,6700,23164,2020,5,803,,Active,,,http://www.redfin.com/CA/Arcadia/1121-San-Carlos-Rd-91006/home/7229755,CRMLS,AR20104281,N,Y,34.1515525,-118.0457558
MLS Listing,,Townhouse,437 W Palm Ave,Monrovia,CA,91016,1398000,6,3.5,639 - Monrovia,2567,8003,2020,5,545,,Active,,,http://www.redfin.com/CA/Monrovia/437-W-Palm-Ave-91016/home/7965124,CRMLS,AR20104856,N,Y,34.1492487,-118.0092538
MLS Listing,,Townhouse,728 W Huntington Dr Unit A,Arcadia,CA,91007,1025000,3,4.0,605 - Arcadia,2250,19015,2011,5,456,250,Active,,,http://www.redfin.com/CA/Arcadia/728-W-Huntington-Dr-91007/unit-A/home/40153773,CRMLS,AR20101271,N,Y,34.131008,-118.055816
MLS Listing,,Single Family Residential,9139 Duarte Rd,San Gabriel,CA,91775,1280000,5,4.0,654 - San Gabriel,2956,8108,1936,5,433,,Active,,,http://www.redfin.com/CA/San-Gabriel/9139-Duarte-Rd-91775/home/7042434,CRMLS,WS20104178,N,Y,34.1242326,-118.068943
MLS Listing,,Townhouse,529 Falling Leaf Aly,Monrovia,CA,91016,748000,2,2.5,Monrovia,2130,15856,2008,6,351,400,Active,,,http://www.redfin.com/CA/Monrovia/529-Falling-Leaf-Aly-91016/home/22954860,PFAR,820001960,N,Y,34.146186,-118.0017065
MLS Listing,,Multi-Family (5+ Unit),1424 Encino Ave,Monrovia,CA,91016,1800000,10,10.0,639 - Monrovia,5172,16774,1948,6,348,,Active,,,http://www.redfin.com/CA/Monrovia/1424-Encino-Ave-91016/home/7966803,CRMLS,AR20089016,N,Y,34.1361298,-118.0168079
MLS Listing,,Single Family Residential,1836 Mountain Ave,Duarte,CA,91010,659000,3,2.0,Duarte,1419,7482,1948,9,464,,Active,,,http://www.redfin.com/CA/Duarte/1836-Mountain-Ave-91010/home/7977094,TheMLS,20-584026,N,Y,34.1311783,-117.9867451
MLS Listing,,Single Family Residential,346 Valley Cir,Monrovia,CA,91016,748888,4,2.5,639 - Monrovia,1677,5811,1992,9,447,180,Active,,,http://www.redfin.com/CA/Monrovia/346-Valley-Cir-91016/home/7977938,CRMLS,AR20056394,N,Y,34.1176411,-117.9977711
MLS Listing,,Single Family Residential,585 Rim Rd,Pasadena,CA,91107,1698000,3,3.0,Pasadena NE,2197,39382,1957,9,773,,Active,,,http://www.redfin.com/CA/Pasadena/585-Rim-Rd-91107/home/7222281,PFAR,820001909,N,Y,34.156356,-118.077843
MLS Listing,,Single Family Residential,9076 Woolley St,Temple City,CA,91780,898000,3,1.5,661 - Temple City,1608,5088,1958,10,558,,Active,,,http://www.redfin.com/CA/Temple-City/9076-Woolley-St-91780/home/7044658,CRMLS,WS20098988,N,Y,34.1146489,-118.0713439
MLS Listing,,Single Family Residential,243 Highland Pl,Monrovia,CA,91016,1329800,3,2.5,639 - Monrovia,1922,11842,1950,10,692,,Active,,,http://www.redfin.com/CA/Monrovia/243-Highland-Pl-91016/home/7964593,CRMLS,AR20101140,N,Y,34.1553539,-118.0117699
MLS Listing,,Single Family Residential,412 Concord Ave,Monrovia,CA,91016,925000,3,1.75,639 - Monrovia,1506,6916,1901,10,614,,Active,,,http://www.redfin.com/CA/Monrovia/412-Concord-Ave-91016/home/7964534,CRMLS,AR20095325,N,Y,34.1520645,-118.0081835
MLS Listing,,Single Family Residential,1001 E Camino Real Ave,Arcadia,CA,91006,2100000,5,6.0,605 - Arcadia,4696,13433,2011,10,447,,Active,,,http://www.redfin.com/CA/Arcadia/1001-E-Camino-Real-Ave-91006/home/7968011,CRMLS,AR20100977,N,Y,34.1222599,-118.0114268
MLS Listing,,Single Family Residential,2121 Redell Ave,Monrovia,CA,91016,975000,5,4.0,639 - Monrovia,1884,6816,1948,10,518,,Active,,,http://www.redfin.com/CA/Monrovia/2121-Redell-Ave-91016/home/7969232,CRMLS,TR20100826,N,Y,34.1268191,-117.9992077
MLS Listing,,Multi-Family (2-4 Unit),215 Grand Ave,Monrovia,CA,91016,880000,3,3.0,639 - Monrovia,2197,9763,1950,11,401,,Active,,,http://www.redfin.com/CA/Monrovia/215-Grand-Ave-91016/home/7971275,CRMLS,AR20099102,N,Y,34.154581,-117.9944771
