SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2009 S Brentwood Dr,West Covina,CA,91792,710000,4,2.75,669 - West Covina,2131,6171,1978,15,333,,Active,,,http://www.redfin.com/CA/West-Covina/2009-S-Brentwood-Dr-91792/home/8083888,CRMLS,CV20098331,N,Y,34.0377805,-117.9159523
MLS Listing,,Single Family Residential,3829 Gilman Rd,El Monte,CA,91732,508000,3,3.0,619 - El Monte,1510,1812,1989,1,336,130,Active,,,http://www.redfin.com/CA/El-Monte/3829-Gilman-Rd-91732/home/7986692,CRMLS,AR20108737,N,Y,34.0705767,-118.0061087
MLS Listing,,Single Family Residential,2242 W Farlington St,West Covina,CA,91790,615000,4,2.0,669 - West Covina,1486,7590,1962,1,414,,Active,,,http://www.redfin.com/CA/West-Covina/2242-W-Farlington-St-91790/home/7949196,CRMLS,TR20108672,N,Y,34.064632,-117.962632
MLS Listing,,Single Family Residential,1030 Gaylawn Ct,La Puente,CA,91744,459000,3,1.0,633 - Industry/La Puente/Valinda,1013,6089,1954,1,453,,Active,,,http://www.redfin.com/CA/La-Puente/1030-Gaylawn-Ct-91744/home/7955087,CRMLS,CV20107652,N,Y,34.0384476,-117.9512378
MLS Listing,,Single Family Residential,335 Willow Ave,La Puente,CA,91746,1195000,5,3.0,633 - Industry/La Puente/Valinda,2849,41440,1951,2,419,,Active,,,http://www.redfin.com/CA/La-Puente/335-Willow-Ave-91746/home/7832860,CRMLS,OC20104771,N,Y,34.0448988,-117.9808887
MLS Listing,,Single Family Residential,703 Lanny Ave,La Puente,CA,91744,599998,3,2.0,633 - Industry/La Puente/Valinda,1546,6451,1954,2,388,,Active,,,http://www.redfin.com/CA/La-Puente/703-Lanny-Ave-91744/home/7860046,CRMLS,DW20107445,N,Y,34.0304894,-117.9407124
MLS Listing,,Single Family Residential,15923 Mentz Ct,La Puente,CA,91744,675000,3,3.0,633 - Industry/La Puente/Valinda,1975,1975,2019,3,342,128,Active,,,http://www.redfin.com/CA/La-Puente/15923-Mentz-St-91744/home/167774211,CRMLS,PW20106235,N,Y,34.0315594,-117.9438262
MLS Listing,,Single Family Residential,1641 E Cameron Ave,West Covina,CA,91791,690000,3,3.0,669 - West Covina,1831,8569,1963,3,377,,Active,,,http://www.redfin.com/CA/West-Covina/1641-E-Cameron-Ave-91791/home/7959673,CRMLS,PW20106533,N,Y,34.0613455,-117.9106428
MLS Listing,,Single Family Residential,13833 Rath St,La Puente,CA,91746,598000,4,3.0,633 - Industry/La Puente/Valinda,2017,6200,1954,3,296,,Active,,,http://www.redfin.com/CA/La-Puente/13833-Rath-St-91746/home/7995166,CRMLS,AR20103843,N,Y,34.0592203,-117.9743458
MLS Listing,,Single Family Residential,1029 Echelon Ave,La Puente,CA,91744,535000,4,2.0,633 - Industry/La Puente/Valinda,1768,7645,1950,4,303,,Active,,,http://www.redfin.com/CA/La-Puente/1029-Echelon-Ave-91744/home/7860718,CRMLS,TR20105807,N,Y,34.0370867,-117.9348166
