SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),2348 Cogswell Rd,El Monte,CA,91732,848888,5,2.0,619 - El Monte,1835,6826,1951,1,463,,Active,,,http://www.redfin.com/CA/El-Monte/2348-Cogswell-Rd-91732/home/171825032,CRMLS,MB20108467,N,Y,34.0542058,-118.0284663
MLS Listing,,Condo/Co-op,11041 Dodson St Unit A,El Monte,CA,91733,548000,4,3.0,619 - El Monte,2049,22067,1989,2,267,175,Active,,,http://www.redfin.com/CA/El-Monte/11041-Dodson-St-91733/unit-A/home/7795571,CRMLS,WS20107320,N,Y,34.0608713,-118.0340925
MLS Listing,,Single Family Residential,3732 Greendale Ave,Rosemead,CA,91770,799000,3,2.0,651 - Rosemead/S. San Gabriel,1715,6325,1969,2,466,,Active,,,http://www.redfin.com/CA/Rosemead/3732-Greendale-Ave-91770/home/7050730,CRMLS,PW20107183,N,Y,34.0767846,-118.0744548
MLS Listing,,Single Family Residential,3499 Whistler Ave,El Monte,CA,91732,565000,4,4.0,619 - El Monte,1753,1706,1992,2,322,5,Active,,,http://www.redfin.com/CA/El-Monte/3499-Whistler-Ave-91732/home/7997456,CRMLS,WS20107112,N,Y,34.0694431,-118.0182279
MLS Listing,,Single Family Residential,11936 Lansdale Ave,El Monte,CA,91732,550000,3,1.0,619 - El Monte,1136,12427,1928,2,484,,Active,,,http://www.redfin.com/CA/El-Monte/11936-Lansdale-Ave-91732/home/7996893,CRMLS,EV20107077,N,Y,34.064245,-118.0186888
MLS Listing,,Vacant Land,2205 Kelburn Ave,Rosemead,CA,91770,850000,,,651 - Rosemead/S. San Gabriel,,18707,,3,,,Active,,,http://www.redfin.com/CA/Rosemead/2205-Kelburn-Ave-91770/home/22347000,CRMLS,WS20106927,N,Y,34.053414,-118.095895
MLS Listing,,Single Family Residential,9347 Marshall St,Rosemead,CA,91770,499000,2,1.0,Rosemead,1108,8899,1926,3,450,,Active,,,http://www.redfin.com/CA/Rosemead/9347-Marshall-St-91770/home/8012398,CRMLS,200025386,N,Y,34.07598,-118.065193
MLS Listing,,Multi-Family (5+ Unit),2532 Bryce Rd,El Monte,CA,91731,1325000,7,5.0,El Monte,2876,22557,1947,3,461,,Active,,,http://www.redfin.com/CA/El-Monte/2532-Bryce-Rd-91732/home/7797281,PFAR,820002003,N,Y,34.0507515,-118.0188048
MLS Listing,,Condo/Co-op,1741 Neil Armstrong St #201,Montebello,CA,90640,389000,3,2.0,674 - Montebello,1162,404929,1971,4,335,260,Active,,,http://www.redfin.com/CA/Montebello/1741-Neil-Armstrong-St-90640/unit-201/home/6985653,CRMLS,PW20104688,N,Y,34.0415188,-118.0954791
MLS Listing,,Condo/Co-op,11331 Elliott Ave #17,El Monte,CA,91732,399999,3,2.25,619 - El Monte,1615,77199,1981,4,248,140,Active,,,http://www.redfin.com/CA/El-Monte/11331-Elliott-Ave-91732/unit-17/home/7795793,CRMLS,TR20104182,N,Y,34.0596069,-118.0293278
MLS Listing,,Single Family Residential,1948 Gaydon Ave,San Gabriel,CA,91776,714000,3,1.0,654 - San Gabriel,1355,6000,1941,5,527,,Active,,,http://www.redfin.com/CA/San-Gabriel/1948-Gaydon-Ave-91776/home/7038165,CRMLS,CV20105033,N,Y,34.0736167,-118.0883319
MLS Listing,,Single Family Residential,1946 Lafayette St,San Gabriel,CA,91776,948888,3,2.0,654 - San Gabriel,2000,7933,1918,5,474,,Active,,,http://www.redfin.com/CA/San-Gabriel/1946-Lafayette-St-91776/home/7037580,CRMLS,CV20103874,N,Y,34.073942,-118.094217
MLS Listing,,Single Family Residential,4169 Cogswell Rd,El Monte,CA,91732,799000,4,2.0,619 - El Monte,2539,11741,1936,5,315,,Active,,,http://www.redfin.com/CA/El-Monte/4169-Cogswell-Rd-91732/home/7986180,CRMLS,WS20104900,N,Y,34.0778454,-118.0117699
MLS Listing,,Vacant Land,1506 Country Point Ln,San Dimas,CA,91733,2350000,,,689 - San Dimas,,83635,,5,,541,Active,,,http://www.redfin.com/CA/El-Monte/1506-Country-Point-LN-91733/home/171959408,CRISNet,SR20096234,N,Y,34.0499095,-118.0478826
MLS Listing,,Condo/Co-op,1745 Neil Armstrong St #101,Montebello,CA,90640,397800,3,1.75,674 - Montebello,1128,404929,1971,6,353,240,Active,,,http://www.redfin.com/CA/Montebello/1745-Neil-Armstrong-St-90640/unit-101/home/6985669,CRMLS,CV20101092,N,Y,34.0415188,-118.0954791
MLS Listing,,Single Family Residential,8318 Olney St,Rosemead,CA,91770,769900,3,3.0,651 - Rosemead/S. San Gabriel,1628,5887,1941,7,473,,Active,,,http://www.redfin.com/CA/Rosemead/8318-Olney-St-91770/home/7038128,CRMLS,WS20103338,N,Y,34.0725144,-118.0869601
MLS Listing,,Single Family Residential,2640 Bartlett Ave,Rosemead,CA,91770,980000,5,3.0,651 - Rosemead/S. San Gabriel,2036,6702,1948,8,481,,Active,,,http://www.redfin.com/CA/Rosemead/2640-Bartlett-Ave-91770/home/6989514,CRMLS,WS20103039,N,Y,34.0601769,-118.0788664
MLS Listing,,Condo/Co-op,1705 Neil Armstrong St #202,Montebello,CA,90640,349000,2,1.5,674 - Montebello,929,404929,1971,8,376,260,Active,,,http://www.redfin.com/CA/Montebello/1705-Neil-Armstrong-St-90640/unit-202/home/6985588,CRMLS,WS20091390,N,Y,34.0415188,-118.0954791
MLS Listing,,Single Family Residential,4107 Arica Ave,Rosemead,CA,91770,679000,3,1.75,651 - Rosemead/S. San Gabriel,1126,6142,1945,8,603,,Active,,,http://www.redfin.com/CA/Rosemead/4107-Arica-Ave-91770/home/8011000,CRMLS,WS20103024,N,Y,34.0819392,-118.065879
MLS Listing,,Single Family Residential,8902 Nevada Ave,Rosemead,CA,91770,889500,4,3.0,Rosemead/S. San Gabriel,2225,6863,1937,8,400,,Active,,,http://www.redfin.com/CA/Rosemead/8902-Nevada-Ave-91770/home/7050671,PFAR,820001930,N,Y,34.0792296,-118.075208
MLS Listing,,Townhouse,1742 Bradbury Dr,Montebello,CA,90640,435000,2,1.5,674 - Montebello,890,384062,1977,9,489,310,Active,,,http://www.redfin.com/CA/Montebello/1742-S-Bradbury-Dr-90640/home/6985544,CRMLS,MB20102018,N,Y,34.0402691,-118.09321
MLS Listing,,Single Family Residential,8158 Blewett St,Rosemead,CA,91770,1195000,5,3.75,651 - Rosemead/S. San Gabriel,2164,16296,1972,10,552,,Active,,,http://www.redfin.com/CA/Rosemead/8158-Blewett-St-91770/home/6988237,CRMLS,CV20057223,N,Y,34.0483595,-118.0916931
MLS Listing,,Multi-Family (2-4 Unit),201 W marshall St,San Gabriel,CA,91776,1190000,7,3.0,654 - San Gabriel,2425,9751,1924,10,491,,Active,,,http://www.redfin.com/CA/San-Gabriel/201-W-Marshall-St-91776/unit-C/home/7031697,CRMLS,WS20052257,N,Y,34.0758727,-118.1025064
MLS Listing,,Single Family Residential,2422 Burkett Rd,El Monte,CA,91732,525000,3,2.0,619 - El Monte,1020,5979,1924,10,515,,Active,,,http://www.redfin.com/CA/El-Monte/2422-Burkett-Rd-91732/home/7797228,CRMLS,DW20100965,N,Y,34.0478988,-118.019272
MLS Listing,,Single Family Residential,7421 Mooney Dr,Rosemead,CA,91770,450000,2,1.0,699 - Not Defined,516,7929,1937,10,872,,Active,,,http://www.redfin.com/CA/Rosemead/7421-Mooney-Dr-91770/home/6991376,CRMLS,PW20100420,N,Y,34.0520057,-118.104461
