SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1216 Rio Blanco St,Montebello,CA,90640,579000,3,3.0,674 - Montebello,1589,4422,1976,2,364,36,Active,,,http://www.redfin.com/CA/Montebello/1216-Rio-Blanco-St-90640/home/6995736,CRMLS,DW20107286,N,Y,34.0302966,-118.1009976
MLS Listing,,Vacant Land,2205 Kelburn Ave,Rosemead,CA,91770,850000,,,651 - Rosemead/S. San Gabriel,,18707,,3,,,Active,,,http://www.redfin.com/CA/Rosemead/2205-Kelburn-Ave-91770/home/22347000,CRMLS,WS20106927,N,Y,34.053414,-118.095895
MLS Listing,,Single Family Residential,3473 Chapelle Ave,Pico Rivera,CA,90660,539000,3,1.0,649 - Pico Rivera,1188,4974,1957,3,454,,Active,,,http://www.redfin.com/CA/Pico-Rivera/3473-Chapelle-Ave-90660/home/7804325,CRMLS,PW20106483,N,Y,34.0191367,-118.0657163
MLS Listing,,Condo/Co-op,1741 Neil Armstrong St #201,Montebello,CA,90640,389000,3,2.0,674 - Montebello,1162,404929,1971,4,335,260,Active,,,http://www.redfin.com/CA/Montebello/1741-Neil-Armstrong-St-90640/unit-201/home/6985653,CRMLS,PW20104688,N,Y,34.0415188,-118.0954791
MLS Listing,,Single Family Residential,629 Cecil St,Monterey Park,CA,91755,686000,3,2.0,641 - Monterey Park,1212,6385,1951,4,566,,Active,,,http://www.redfin.com/CA/Monterey-Park/629-Cecil-St-91755/home/6978302,CRMLS,WS20104613,N,Y,34.0547142,-118.1243603
MLS Listing,,Condo/Co-op,8615 Beverly Blvd #21,Pico Rivera,CA,90660,385000,3,2.0,649 - Pico Rivera,967,40259,1994,4,398,250,Active,,,http://www.redfin.com/CA/Pico-Rivera/8615-Beverly-Blvd-90660/unit-21/home/6982621,CRMLS,DW20105301,N,Y,34.0129539,-118.0870988
MLS Listing,,Single Family Residential,735 El Mercado Ave,Monterey Park,CA,91754,678888,2,2.0,641 - Monterey Park,1219,7021,1940,5,557,,Active,,,http://www.redfin.com/CA/Monterey-Park/735-El-Mercado-Ave-91754/home/6976828,CRMLS,DW20102783,N,Y,34.052435,-118.135972
MLS Listing,,Multi-Family (2-4 Unit),228 W Riggin St,Monterey Park,CA,91754,789000,4,3.0,641 - Monterey Park,1617,6089,1949,5,488,,Active,,,http://www.redfin.com/CA/Monterey-Park/228-W-Riggin-St-91754/home/6983751,CRMLS,AR20104954,N,Y,34.0365059,-118.1329044
MLS Listing,,Condo/Co-op,1745 Neil Armstrong St #101,Montebello,CA,90640,397800,3,1.75,674 - Montebello,1128,404929,1971,6,353,240,Active,,,http://www.redfin.com/CA/Montebello/1745-Neil-Armstrong-St-90640/unit-101/home/6985669,CRMLS,CV20101092,N,Y,34.0415188,-118.0954791
MLS Listing,,Condo/Co-op,1016 Eucalipto Pl,Montebello,CA,90640,579000,4,3.5,674 - Montebello,1820,14563,2017,7,318,187,Active,,,http://www.redfin.com/CA/Montebello/1016-Eucalipto-Pl-90640/home/142687121,CRMLS,CV20103358,N,Y,34.0064777,-118.1126458
MLS Listing,,Single Family Residential,137 N Poplar Ave,Montebello,CA,90640,575000,4,2.0,Montebello,1218,6209,1927,7,472,,Active,,,http://www.redfin.com/CA/Montebello/137-N-Poplar-Ave-90640/home/7436976,TheMLS,20-584564,N,Y,34.0096995,-118.0995344
MLS Listing,,Single Family Residential,510 S Ynez Ave S,Monterey Park,CA,91754,539000,2,1.0,641 - Monterey Park,935,3917,1941,7,576,,Active,,,http://www.redfin.com/CA/Monterey-Park/510-S-Ynez-Ave-91754/home/6977460,CRMLS,CV20100794,N,Y,34.0560093,-118.1301205
MLS Listing,,Condo/Co-op,1705 Neil Armstrong St #202,Montebello,CA,90640,349000,2,1.5,674 - Montebello,929,404929,1971,8,376,260,Active,,,http://www.redfin.com/CA/Montebello/1705-Neil-Armstrong-St-90640/unit-202/home/6985588,CRMLS,WS20091390,N,Y,34.0415188,-118.0954791
MLS Listing,,Townhouse,1742 Bradbury Dr,Montebello,CA,90640,435000,2,1.5,674 - Montebello,890,384062,1977,9,489,310,Active,,,http://www.redfin.com/CA/Montebello/1742-S-Bradbury-Dr-90640/home/6985544,CRMLS,MB20102018,N,Y,34.0402691,-118.09321
MLS Listing,,Single Family Residential,8158 Blewett St,Rosemead,CA,91770,1195000,5,3.75,651 - Rosemead/S. San Gabriel,2164,16296,1972,10,552,,Active,,,http://www.redfin.com/CA/Rosemead/8158-Blewett-St-91770/home/6988237,CRMLS,CV20057223,N,Y,34.0483595,-118.0916931
MLS Listing,,Condo/Co-op,1127 Calle Montana,Montebello,CA,90640,479000,2,2.5,674 - Montebello,1190,17562,2015,10,403,260,Active,,,http://www.redfin.com/CA/Montebello/1127-Calle-Montana-90640/home/110093578,CRMLS,DW20054182,N,Y,34.0045815,-118.1148868
MLS Listing,,Single Family Residential,7421 Mooney Dr,Rosemead,CA,91770,450000,2,1.0,699 - Not Defined,516,7929,1937,10,872,,Active,,,http://www.redfin.com/CA/Rosemead/7421-Mooney-Dr-91770/home/6991376,CRMLS,PW20100420,N,Y,34.0520057,-118.104461
MLS Listing,,Single Family Residential,1823 Reynolds Ave,Rosemead,CA,91770,659900,3,2.0,651 - Rosemead/S. San Gabriel,1305,4959,1963,15,506,,Active,,,http://www.redfin.com/CA/Rosemead/1823-Reynolds-Ave-91770/home/6988452,CRMLS,CV20097868,N,Y,34.0506887,-118.0886291
MLS Listing,,Condo/Co-op,1725 Neil Armstrong St #105,Montebello,CA,90640,335000,2,2.0,674 - Montebello,970,404929,1971,15,345,220,Active,,,http://www.redfin.com/CA/Montebello/1725-Neil-Armstrong-St-90640/unit-105/home/6985599,CRMLS,TR20096862,N,Y,34.0415188,-118.0954791
MLS Listing,,Multi-Family (2-4 Unit),228 N 4th St,Montebello,CA,90640,1695000,4,4.0,674 - Montebello,2200,6760,1928,15,770,,Active,,,http://www.redfin.com/CA/Montebello/228-N-4th-St-90640/home/7436875,CRMLS,CV20098289,N,Y,34.011907,-118.102766
MLS Listing,,Multi-Family (2-4 Unit),6174 Allston St,Los Angeles,CA,90022,849000,4,4.0,699 - Not Defined,3120,4979,1929,15,272,,Active,,,http://www.redfin.com/CA/East-Los-Angeles/6174-Allston-St-90022/home/7432442,CRMLS,OC20094411,N,Y,34.0155643,-118.1392633
MLS Listing,,Single Family Residential,405 N 5th St,Montebello,CA,90640,589000,3,1.75,674 - Montebello,1590,7031,1950,15,370,,Active,,,http://www.redfin.com/CA/Montebello/405-N-5th-St-90640/home/7436603,CRMLS,DW20096702,N,Y,34.0151271,-118.1035123
