SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,858 N Monterey St,Alhambra,CA,91801,618000,3,2.5,601 - Alhambra,2007,63503,1980,10,308,395,Active,,,http://www.redfin.com/CA/Alhambra/858-N-Monterey-St-91801/home/7009797,CRMLS,PF20100916,N,Y,34.104653,-118.130196
MLS Listing,,Single Family Residential,301 S Cordova St,Alhambra,CA,91801,888000,4,2.25,601 - Alhambra,1860,8502,1910,51,477,,Active,,,http://www.redfin.com/CA/Alhambra/301-S-Cordova-St-91801/home/7021634,CRMLS,PF20074284,N,Y,34.0958052,-118.1171334
MLS Listing,,Multi-Family (2-4 Unit),821 S Olive Ave,Alhambra,CA,91803,888000,4,2.0,601 - Alhambra,1364,5765,1954,1,651,,Active,,,http://www.redfin.com/CA/Alhambra/821-S-Olive-Ave-91803/home/7024664,CRMLS,WS20108936,N,Y,34.082724,-118.135718
MLS Listing,,Single Family Residential,2101 Huntington Dr Unit A,South Pasadena,CA,91030,579000,1,1.0,658 - So. Pasadena,704,1799,1923,1,822,,Active,,,http://www.redfin.com/CA/South-Pasadena/2101-Huntington-Dr-91030/unit-A/home/7008774,CRMLS,AR20085522,N,Y,34.104951,-118.137005
MLS Listing,,Single Family Residential,2415 Hathaway Ave,Alhambra,CA,91803,599000,3,1.5,Alhambra,1089,6172,1948,1,550,,Active,,,http://www.redfin.com/CA/Alhambra/2415-Hathaway-Ave-91803/home/7027713,PFAR,820002051,N,Y,34.064404,-118.1358348
MLS Listing,,Single Family Residential,9922 Nadine St,Temple City,CA,91780,748000,3,1.75,661 - Temple City,1335,6394,1951,2,560,,Active,,,http://www.redfin.com/CA/Temple-City/9922-Nadine-St-91780/home/8008921,CRMLS,AR20107673,N,Y,34.0998514,-118.0522504
MLS Listing,,Single Family Residential,289 S Walnut Grove Ave,San Gabriel,CA,91776,1369900,5,5.0,654 - San Gabriel,3310,9468,2002,2,414,,Active,,,http://www.redfin.com/CA/San-Gabriel/289-Walnut-Grove-Ave-91776/home/7039017,CRMLS,TR20107453,N,Y,34.0994871,-118.0840565
MLS Listing,,Single Family Residential,9822 Broadway,Temple City,CA,91780,888000,3,1.75,Temple City,1719,7192,1947,2,517,,Active,,,http://www.redfin.com/CA/Temple-City/9822-Broadway-91780/home/8008836,PFAR,820002026,N,Y,34.1011568,-118.0545828
MLS Listing,,Single Family Residential,3732 Greendale Ave,Rosemead,CA,91770,799000,3,2.0,651 - Rosemead/S. San Gabriel,1715,6325,1969,2,466,,Active,,,http://www.redfin.com/CA/Rosemead/3732-Greendale-Ave-91770/home/7050730,CRMLS,PW20107183,N,Y,34.0767846,-118.0744548
MLS Listing,,Vacant Land,2205 Kelburn Ave,Rosemead,CA,91770,850000,,,651 - Rosemead/S. San Gabriel,,18707,,3,,,Active,,,http://www.redfin.com/CA/Rosemead/2205-Kelburn-Ave-91770/home/22347000,CRMLS,WS20106927,N,Y,34.053414,-118.095895
